Date,Open,High,Low,Close,Adj Close,Volume
2023-05-17,6.149301,6.731097,6.002877,6.613492,6.613492,67343211
2023-05-18,6.612433,6.707534,6.296177,6.654325,6.654325,54568131
2023-05-19,6.654185,7.182119,6.482279,7.022026,7.022026,94405044
2023-05-20,7.022114,7.508919,6.941179,7.225315,7.225315,74987257
2023-05-21,7.224929,7.281262,6.708960,6.737106,6.737106,52648483
2023-05-22,6.736507,6.941350,6.587464,6.674914,6.674914,47090490
2023-05-23,6.674652,7.038338,6.609865,6.805209,6.805209,52023070
2023-05-24,6.805505,6.809405,6.334803,6.383459,6.383459,55617709
2023-05-25,6.383544,6.455819,6.142350,6.303295,6.303295,43906855
2023-05-26,6.302482,6.571653,6.175752,6.405260,6.405260,41004390
2023-05-27,6.405032,6.503506,6.343188,6.386384,6.386384,23866166
2023-05-28,6.386443,7.311153,6.355768,7.134160,7.134160,82220782
2023-05-29,7.132210,7.680794,6.961579,7.440928,7.440928,124169701
2023-05-30,7.434566,7.770725,7.364064,7.617050,7.617050,72965149
2023-05-31,7.615890,7.722496,7.076710,7.263262,7.263262,58538574
2023-06-01,7.264508,7.477784,6.979979,7.288087,7.288087,52962930
2023-06-02,7.287406,8.168480,7.235528,7.881107,7.881107,93409932
2023-06-03,7.881901,8.131557,7.799909,7.936009,7.936009,45628202
2023-06-04,7.935947,8.087278,7.764630,7.808862,7.808862,40692683
2023-06-05,7.809722,7.839610,6.846052,7.115040,7.115040,76757864
2023-06-06,7.110025,7.480038,6.919127,7.394373,7.394373,59993163
2023-06-07,7.393216,7.393216,6.846069,6.898940,6.898940,43735881
2023-06-08,6.899302,7.150485,6.658944,6.959657,6.959657,47256549
2023-06-09,6.957270,7.158664,6.849103,6.905057,6.905057,32929744
2023-06-10,6.905494,6.907289,5.446409,5.698093,5.698093,91908191
2023-06-11,5.697656,5.927228,5.452711,5.726356,5.726356,50173069
2023-06-12,5.725719,5.951409,5.580571,5.668429,5.668429,35460780
2023-06-13,5.668275,6.107950,5.604827,6.016685,6.016685,44230396
2023-06-14,6.016687,6.280293,5.839932,5.911517,5.911517,55214445
2023-06-15,5.911416,6.095409,5.468201,5.874585,5.874585,50621514
2023-06-16,5.874791,6.146694,5.786004,6.064999,6.064999,46245887
2023-06-17,6.066791,6.567546,5.981598,6.313762,6.313762,38259794
2023-06-18,6.313470,6.339550,5.967891,5.981706,5.981706,31382407
2023-06-19,5.980763,6.268537,5.886749,6.150940,6.150940,32914785
2023-06-20,6.150424,6.752049,6.052046,6.741079,6.741079,56001444
2023-06-21,6.739925,7.385276,6.698916,7.158456,7.158456,84160240
2023-06-22,7.156851,7.383307,6.951156,6.975431,6.975431,53862761
2023-06-23,6.974542,7.416081,6.966057,7.144895,7.144895,47219247
2023-06-24,7.144827,7.148808,6.760049,6.924040,6.924040,36398886
2023-06-25,6.921771,7.213341,6.898375,6.976846,6.976846,32302359
2023-06-26,6.976368,7.693318,6.836150,7.358223,7.358223,93272994
2023-06-27,7.358371,7.825385,7.356498,7.595120,7.595120,56080226
2023-06-28,7.593359,7.730543,7.239449,7.406785,7.406785,55719961
2023-06-29,7.406021,7.968131,7.403120,7.870547,7.870547,55301661
2023-06-30,7.869467,8.189681,7.601651,8.037388,8.037388,66792662
2023-07-01,8.034960,8.983599,8.024323,8.840148,8.840148,74302014
2023-07-02,8.844798,8.865929,8.309311,8.730452,8.730452,57812222
2023-07-03,8.729140,8.970489,8.613783,8.624813,8.624813,53090191
2023-07-04,8.621939,8.880168,8.495078,8.568926,8.568926,45391516
2023-07-05,8.570488,8.839903,8.118455,8.279154,8.279154,56102329
2023-07-06,8.279914,8.643181,7.874478,7.879986,7.879986,54069098
2023-07-07,7.879176,8.103800,7.803292,7.961443,7.961443,40061976
2023-07-08,7.961307,8.092393,7.840124,8.060696,8.060696,27785210
2023-07-09,8.060437,8.445718,8.046660,8.202787,8.202787,45611505
2023-07-10,8.203929,8.263238,7.814126,8.118771,8.118771,42019628
2023-07-11,8.120168,8.381971,8.007178,8.010023,8.010023,29067430
2023-07-12,8.009855,8.322804,7.965255,7.981412,7.981412,38243590
2023-07-13,7.981162,8.772636,7.862457,8.772636,8.772636,74164000
2023-07-14,8.770756,9.829960,8.675238,9.437548,9.437548,147002371
2023-07-15,9.441101,9.443507,8.988645,9.297251,9.297251,49969361
2023-07-16,9.303867,9.558771,8.857169,8.895185,8.895185,52875188
2023-07-17,8.894877,9.366073,8.808669,9.182484,9.182484,62178888
2023-07-18,9.179527,9.385560,8.871949,8.911663,8.911663,43336393
2023-07-19,8.912936,9.208966,8.881417,8.974219,8.974219,35142169
2023-07-20,8.973335,9.375985,8.942355,9.287327,9.287327,59020055
2023-07-21,9.288107,9.476619,8.986197,8.994866,8.994866,31533065
2023-07-22,8.995225,9.046733,8.602923,8.640211,8.640211,31206851
2023-07-23,8.636022,8.817403,8.601607,8.708202,8.708202,29573692
2023-07-24,8.707742,8.743593,8.041660,8.157304,8.157304,42918217
2023-07-25,8.159339,8.238944,7.928843,8.001080,8.001080,31910986
2023-07-26,8.001282,8.187911,7.849230,8.022666,8.022666,34754932
2023-07-27,8.023096,8.314050,7.945204,7.982419,7.982419,26831350
2023-07-28,7.982241,8.233066,7.954026,8.061603,8.061603,19982384
2023-07-29,8.058867,8.110769,7.970084,8.010949,8.010949,16192595
2023-07-30,8.010673,8.021381,7.695938,7.892173,7.892173,22605158
2023-07-31,7.892126,8.053962,7.815857,7.864029,7.864029,24658025
2023-08-01,7.863912,8.025884,7.574360,8.025884,8.025884,37180559
2023-08-02,8.020418,8.173279,7.941964,7.942067,7.942067,45515843
2023-08-03,7.942026,8.203441,7.888604,8.121504,8.121504,28040753
2023-08-04,8.120452,8.243377,7.959942,7.993811,7.993811,26663326
2023-08-05,7.993860,8.103103,7.889281,7.934304,7.934304,19283027
2023-08-06,7.933892,8.040904,7.869570,7.890099,7.890099,16876776
2023-08-07,7.890340,8.055525,7.718872,7.923751,7.923751,26536474
2023-08-08,7.923492,8.219092,7.893619,8.112817,8.112817,31871262
2023-08-09,8.113545,8.143698,7.819204,7.876186,7.876186,26721551
2023-08-10,7.876700,7.877002,7.558835,7.687578,7.687578,36493793
2023-08-11,7.687779,7.750884,7.631129,7.635613,7.635613,18708211
2023-08-12,7.636296,7.692814,7.624167,7.663464,7.663464,14360968
2023-08-13,7.663403,7.739166,7.592087,7.702278,7.702278,17161156
2023-08-14,7.701773,7.749877,7.541842,7.564459,7.564459,25609280
2023-08-15,7.564811,7.566361,7.149882,7.196175,7.196175,38684887
2023-08-16,7.195317,7.327197,6.945086,7.039789,7.039789,48098274
2023-08-17,7.039989,7.307515,6.746650,7.139020,7.139020,69070716
2023-08-18,7.138360,7.961391,7.032442,7.876547,7.876547,94702167
2023-08-19,7.878473,8.051127,7.715106,7.748593,7.748593,47663238
2023-08-20,7.747786,7.946545,7.699338,7.728619,7.728619,25396688
2023-08-21,7.728231,7.864295,7.368889,7.467182,7.467182,36176120
2023-08-22,7.469586,7.496356,7.118225,7.341627,7.341627,35004836
2023-08-23,7.341411,7.813029,7.330331,7.721103,7.721103,36181993
2023-08-24,7.721443,7.776158,7.375175,7.469555,7.469555,25973506
2023-08-25,7.469509,7.469509,7.112878,7.267999,7.267999,29903354
2023-08-26,7.268002,7.272617,7.169430,7.215958,7.215958,15677559
2023-08-27,7.215693,7.281844,6.887143,6.941186,6.941186,28909911
2023-08-28,6.941449,7.068493,6.815537,6.895750,6.895750,28036661
2023-08-29,6.895412,7.442974,6.647976,7.250401,7.250401,57931681
2023-08-30,7.250220,7.272920,6.996908,7.115419,7.115419,27240551
2023-08-31,7.115680,7.304817,6.932920,6.992265,6.992265,30878678
2023-09-01,6.992304,7.082059,6.760767,6.798633,6.798633,25193080
2023-09-02,6.798592,6.870908,6.713617,6.769763,6.769763,16889332
2023-09-03,6.769916,6.869986,6.738401,6.814313,6.814313,16644912
2023-09-04,6.814078,6.962709,6.774046,6.830936,6.830936,20702266
2023-09-05,6.832064,6.903753,6.734875,6.859899,6.859899,19240036
2023-09-06,6.860146,6.910149,6.752486,6.892316,6.892316,18100140
2023-09-07,6.891417,7.036151,6.806378,6.959509,6.959509,19279293
2023-09-08,6.959187,6.991639,6.719247,6.720188,6.720188,17105980
2023-09-09,6.720171,6.731915,6.622048,6.692275,6.692275,14043940
2023-09-10,6.691419,6.739497,6.481814,6.643187,6.643187,24730317
2023-09-11,6.643263,6.686635,6.407394,6.646948,6.646948,25144435
2023-09-12,6.647679,7.082734,6.628657,6.792834,6.792834,37535876
2023-09-13,6.793245,7.047398,6.789396,6.912089,6.912089,26412105
2023-09-14,6.912161,7.052409,6.854543,7.029997,7.029997,22678366
2023-09-15,7.030066,7.278389,7.020437,7.254491,7.254491,27995929
2023-09-16,7.253765,7.433203,7.174228,7.196648,7.196648,22517527
2023-09-17,7.196819,7.196959,6.933818,7.047865,7.047865,20407549
2023-09-18,7.046753,7.471462,6.982812,7.345152,7.345152,33253020
2023-09-19,7.344901,7.561714,7.300971,7.528584,7.528584,27953177
